# stock1, stock2, stock3, stock4
7.979550748256576753e+01,1.296788499186924355e+02,1.137668320950871106e+02,9.528375729054383214e+01
8.150698230947264733e+01,1.312981069485747696e+02,1.166994924919819994e+02,9.999009228573498831e+01
8.229900697102226559e+01,1.306878203478505611e+02,1.168070679398352496e+02,8.898198715896747046e+01
7.694441448565437724e+01,1.322271927640051388e+02,1.216619395762404423e+02,8.777251598677702304e+01
8.650209595704926357e+01,1.328302270331409431e+02,1.223481037638338194e+02,8.772741163178029922e+01
8.676268889561454500e+01,1.296679013165815491e+02,1.196513539409415898e+02,8.599360268677249053e+01
8.421830707990244491e+01,1.296049374554672795e+02,1.211445985059061172e+02,8.742859579240253254e+01
8.776563610626230627e+01,1.295402250710038743e+02,1.157247634516478314e+02,8.757454005764520844e+01
9.265797348850588833e+01,1.293657171428358765e+02,1.224907723040224283e+02,8.466142861873527181e+01
8.801956354673386329e+01,1.300992830746192226e+02,1.253384817950426395e+02,8.413675161541978298e+01
9.293650398609401009e+01,1.279945098807274917e+02,1.217391824406640239e+02,8.206400657208445182e+01
9.863302818946777961e+01,1.271046103838332044e+02,1.213737439546462724e+02,8.264527628696558281e+01
9.929860611285393190e+01,1.252646899627125379e+02,1.175641954321577316e+02,7.608199829108710333e+01
9.660928033437335216e+01,1.262666096596566376e+02,1.117914857005810205e+02,8.194457639118681413e+01
1.000948246768422365e+02,1.258732690077457050e+02,1.115748803857665479e+02,7.765125925629209291e+01
1.024439601853097628e+02,1.278361600250817105e+02,1.104731469729980233e+02,8.450300903467119440e+01
9.254740192673692434e+01,1.268354370415551671e+02,1.129117927986487473e+02,7.580494230477869166e+01
8.903572796301240544e+01,1.260467421050577599e+02,1.113527371494830334e+02,7.903797126606873746e+01
9.262923170358584457e+01,1.269163755951002628e+02,1.128467685794683035e+02,7.157441543771652448e+01
8.495646516190682007e+01,1.285107237762656496e+02,1.123193395803132546e+02,7.396123458936671113e+01
8.569625816149789443e+01,1.283575156861135156e+02,1.122140951882423394e+02,7.897598126694822440e+01
8.480840828272104659e+01,1.283977149669839264e+02,1.080280408378012851e+02,8.324701379406388924e+01
8.888309686787091835e+01,1.277619949256679348e+02,1.056327753595484040e+02,7.662413517583053135e+01
9.706195901722429653e+01,1.266916742861604064e+02,9.969204272107783993e+01,7.684881249752413623e+01
9.700282579769378799e+01,1.252448660401096561e+02,1.005633873554568822e+02,7.330101310464833375e+01
1.013869752357845329e+02,1.258018123424638333e+02,1.023638789459345446e+02,6.921054437883331900e+01
9.527670129579597358e+01,1.263808333708394258e+02,1.040218536190350136e+02,6.997964430101083622e+01
9.656536511360727104e+01,1.260138958269850349e+02,9.935764034884999774e+01,6.181395884122349571e+01
8.469453832360326828e+01,1.285602227476061898e+02,1.016286357297622658e+02,6.714014047718337963e+01
7.978174818172024629e+01,1.258863424202813377e+02,1.053745107919464914e+02,6.600538603382123881e+01
7.789373327405189684e+01,1.249072976023404635e+02,1.067917129239472587e+02,6.715426197371198214e+01
8.171132533972867407e+01,1.266755191382563339e+02,1.045781269503770403e+02,6.820712410925773383e+01
8.037931651088059937e+01,1.249594766966765462e+02,1.032040997815818031e+02,6.198387420789130431e+01
7.351159575582826733e+01,1.221968395672074337e+02,1.038027858689422800e+02,6.107107200062055341e+01
6.944295560380624011e+01,1.234938754929039533e+02,1.015921900341109847e+02,5.988575632153122541e+01
7.067006738453490300e+01,1.251370322543647262e+02,1.020465060460514621e+02,6.450272537819472518e+01
6.681249635345230331e+01,1.246633315798221417e+02,9.561272519523139124e+01,6.872867473427875495e+01
6.460269348492664676e+01,1.252801960420514291e+02,9.960007318310425717e+01,7.582089947473340885e+01
6.523095381108419133e+01,1.259563805064730104e+02,1.007191003252541606e+02,7.138771814127363768e+01
7.017696508391266264e+01,1.249118958009906208e+02,1.001452289461654459e+02,6.891527036259138583e+01
7.117948321946151680e+01,1.257978873553810786e+02,1.063583388316996974e+02,7.313131727288210016e+01
6.263822328646831039e+01,1.274922924983721657e+02,1.041592052084969140e+02,7.655233806968165311e+01
5.995370165483480207e+01,1.275115796434250655e+02,1.046909473220342761e+02,8.345321205029711109e+01
5.947885771288574830e+01,1.274818389177460034e+02,1.035897617369958112e+02,7.504800405947349873e+01
6.134306316582333096e+01,1.271639780281728065e+02,1.030264469601904835e+02,7.730281631998484215e+01
6.119281366485307672e+01,1.289032307427509068e+02,1.069100007406787682e+02,7.038534566453907360e+01
6.123661379152303397e+01,1.295473894213053256e+02,1.067765786007478681e+02,7.201165540075251670e+01
6.121583312297963175e+01,1.291466952478821781e+02,1.020553877458468577e+02,8.021646143224131720e+01
6.873355202497835137e+01,1.302725718068662388e+02,9.943760151237424338e+01,8.156208902301041519e+01
6.812894828328933272e+01,1.309338202504021922e+02,9.561852767159507493e+01,7.999007266459028642e+01
6.881982052892084312e+01,1.312291226816920187e+02,9.568159962057981716e+01,8.013475207548412982e+01
6.547915179348322567e+01,1.315686932919365688e+02,9.236292621272336589e+01,7.238222212298062175e+01
7.028698123726093172e+01,1.337001860606535502e+02,9.693511585277782672e+01,6.823965723401646244e+01
6.712301260200523245e+01,1.310595340439873269e+02,9.960881808984710517e+01,6.739628950636807758e+01
6.647993912581814868e+01,1.312590966896846680e+02,9.740972048351046908e+01,6.778130608521389888e+01
6.378834316432902085e+01,1.315761418330580170e+02,9.421248972710083081e+01,6.328528806358271197e+01
6.115135735560404129e+01,1.327047125984679496e+02,9.373703177992832991e+01,6.344303418933281336e+01
6.147842993695596903e+01,1.310189683286829165e+02,9.078997830432000171e+01,6.523892708290077280e+01
6.931026976017848540e+01,1.302399366268995777e+02,8.826030567068239918e+01,6.381909201571200896e+01
7.478172866277735409e+01,1.296585648043477192e+02,8.534851379808168303e+01,6.716671062899936828e+01
7.629783649883844987e+01,1.323602612518234878e+02,8.147526823243794070e+01,6.325022518855958253e+01
7.453601320051419066e+01,1.329522257589042624e+02,7.915190858968125553e+01,6.369936694662658994e+01
7.191801541951188881e+01,1.331272628453907316e+02,8.135975108807259915e+01,6.057458045560129278e+01
6.988001393495970603e+01,1.330552160303897722e+02,8.001481569567604879e+01,6.645635745784862536e+01
6.810518905246355814e+01,1.297698494421424584e+02,7.904899766382938253e+01,7.086119141192610016e+01
6.672381914064825992e+01,1.283227646271278672e+02,7.903903051927572676e+01,6.781465694693633850e+01
6.642122865340222404e+01,1.277582878773499431e+02,7.729284435093711636e+01,6.829145207942858065e+01
6.522636935911351941e+01,1.260887642370848596e+02,7.574425335643888957e+01,7.318621276443535351e+01
6.514403353740121361e+01,1.271663309427921007e+02,7.863716418099012628e+01,7.335950834254798281e+01
6.878909123703054718e+01,1.281668455629883567e+02,7.498263944584844864e+01,7.432065599083487939e+01
7.088126254090998657e+01,1.301817845115963905e+02,7.883774176460161698e+01,7.391904159171382105e+01
7.170645979372142165e+01,1.280351241830270226e+02,7.748970799316461466e+01,7.594632631599422723e+01
7.743971479376057232e+01,1.294130347934056999e+02,7.089207803948556830e+01,6.894674375824227752e+01
7.986135201510792569e+01,1.302742730351994283e+02,7.280591423086526959e+01,6.977598998249872864e+01
7.130043395265099093e+01,1.298024040296475334e+02,7.513480739895851457e+01,6.973328707932819270e+01
7.150031585652230604e+01,1.288009289259715615e+02,7.386629821255175443e+01,6.929730025693829987e+01
6.996080843660750759e+01,1.314815627312549111e+02,7.182954348410372347e+01,6.667176708184577194e+01
6.627211581588781542e+01,1.327506786604283775e+02,7.461908918818022585e+01,6.795683950448916733e+01
7.323552095240876270e+01,1.343211975421688180e+02,7.367903464596021479e+01,6.598066093872832028e+01
7.562473814948914708e+01,1.332559784996246606e+02,7.442304151521042854e+01,6.300063002907258181e+01
7.969813935347981726e+01,1.318221513768343414e+02,7.583542690856658908e+01,6.090750282766349244e+01
8.408461348664653201e+01,1.312121635271793707e+02,7.796541622437369767e+01,5.698181824162988107e+01
7.933005036980476632e+01,1.341239900378835159e+02,7.689994107378268495e+01,6.291435312372257727e+01
8.732078665194865152e+01,1.356928971470307204e+02,7.766781453654954248e+01,6.254680499853881059e+01
9.216549172306783078e+01,1.358135018899191095e+02,7.552602215975444722e+01,6.824126903675909261e+01
8.685265997793395343e+01,1.362761896384534737e+02,7.454023926340282458e+01,7.011115383263063450e+01
8.060056462648869058e+01,1.358502472468214251e+02,7.700396651071673659e+01,7.619561096907615649e+01
7.894976764435008931e+01,1.379043499498023095e+02,8.285830677554460522e+01,7.129730650312677653e+01
7.553277589690479488e+01,1.400214017392811172e+02,8.407028671347372040e+01,6.918826020763945905e+01
7.518651697092154507e+01,1.406705877922941568e+02,8.392427907079215288e+01,6.314876172241358887e+01
7.960077734802322880e+01,1.412356469898032287e+02,8.155458318128945905e+01,6.522957541444962715e+01
8.139944531935681482e+01,1.421144723259445186e+02,7.495171086031901098e+01,6.843887987859751831e+01
8.608618047555124519e+01,1.421676956698925665e+02,7.632764703896945946e+01,6.534924471664592716e+01
8.824637788964130891e+01,1.413691409250489244e+02,7.270857812471894022e+01,6.916524831927182504e+01
9.110496346993363659e+01,1.415899143384137062e+02,7.763379203390464056e+01,6.676882378656326011e+01
9.509388956725905473e+01,1.402049197837033319e+02,7.823473884975379633e+01,6.950958659036781739e+01
9.621709524729583052e+01,1.370960860035183373e+02,8.186807537588343564e+01,7.126111123777864975e+01
9.888687628673920926e+01,1.360074058740478051e+02,8.038004177335683664e+01,7.413089108231854141e+01
1.026321361181696119e+02,1.366941635069231893e+02,7.750777625812838778e+01,8.163377397375720079e+01
1.032608215119351200e+02,1.373753430430959952e+02,7.889007761463680879e+01,8.451446672018742845e+01
1.017752769652392431e+02,1.358042917456299392e+02,8.314433101124801340e+01,9.075072360586582931e+01
1.079145516673762870e+02,1.346281866019320432e+02,8.627331555031740606e+01,8.855529328856522397e+01
1.151146169407036552e+02,1.368615735980183388e+02,8.907129264227701526e+01,8.487353094196528502e+01
1.337025558737047106e+02,1.389491032759505345e+02,8.833720762360307788e+01,8.850860530534203008e+01
1.305949989785073058e+02,1.381059790849295439e+02,8.995344888875423806e+01,9.419591849550727147e+01
1.390721429641424436e+02,1.389544579120259584e+02,9.224344770464249166e+01,9.295053345168336989e+01
1.412652962321273833e+02,1.385515606741439854e+02,8.921364521904148148e+01,9.230714744642817493e+01
1.330383736734551405e+02,1.371729079396913562e+02,9.085481687888457714e+01,8.723066665470432213e+01
1.336167386978144407e+02,1.381527900471859596e+02,9.427827888516030441e+01,9.534859070919536350e+01
1.358121799324331676e+02,1.384253680448978798e+02,9.656145388155192677e+01,9.273565844615151832e+01
1.425729184466459571e+02,1.377307779096947513e+02,9.234457418098928372e+01,9.055590914690193927e+01
1.437909190729741624e+02,1.352626638003446260e+02,9.432852641014821415e+01,8.061520019542373916e+01
1.376701939269358661e+02,1.375168756286334428e+02,9.869907204251208555e+01,9.403678875151236127e+01
1.354081960084372156e+02,1.400443233313198164e+02,9.381601525735493396e+01,1.014642987327333685e+02
1.364970392401428398e+02,1.393636978980663059e+02,9.306588139154634121e+01,9.689817040836673812e+01
1.405154945825982225e+02,1.394005890545251702e+02,9.141581973772694880e+01,9.043797859401490769e+01
1.256186681113588435e+02,1.388336172940147435e+02,8.733839433803751717e+01,1.002386483479655652e+02
1.197615755131008228e+02,1.408541328556079009e+02,8.777919730837936640e+01,9.497949078614358598e+01
1.113332533098015062e+02,1.420464955742137363e+02,8.874470580574954681e+01,1.067320162200836933e+02
1.087437200364015553e+02,1.417783741951496381e+02,8.921036145894920821e+01,1.147642664939666730e+02
1.047130588211149274e+02,1.402162173618638121e+02,8.921344377515895019e+01,1.318498704628883615e+02
9.919724125184090724e+01,1.425535010154145255e+02,8.868478865623161767e+01,1.408608310392677083e+02
9.977056705362825539e+01,1.410068637039249779e+02,9.280748926277328792e+01,1.242364145442082446e+02
9.682140754689088169e+01,1.423056929232998868e+02,9.310375616841569979e+01,1.353984206855078583e+02
9.251370610648376669e+01,1.433071122553161842e+02,9.158575035559981359e+01,1.330206004821524743e+02
9.469712696095415083e+01,1.453608142956000790e+02,8.993108938126080432e+01,1.319330733226136658e+02
1.005048332585354132e+02,1.459831298507843940e+02,8.560305057322820232e+01,1.396722754082670974e+02
1.043947532519116521e+02,1.429638498413277716e+02,8.962276974070937285e+01,1.333318331537745962e+02
1.018434985245744429e+02,1.423274276693925344e+02,9.062621630353265800e+01,1.192768953538638925e+02
1.056828645646418892e+02,1.424720846022574108e+02,9.159247708238093821e+01,1.287501519675108739e+02
1.132702853140232122e+02,1.431255965107186796e+02,9.261252374662751663e+01,1.356449380891592682e+02
1.175631188267266793e+02,1.436547904475143014e+02,9.601964143931449769e+01,1.393730877414506040e+02
1.191107547247658403e+02,1.426794450885800529e+02,9.790298645358650731e+01,1.442844912583178427e+02
1.239857824844672507e+02,1.424948506477598471e+02,1.043061835571771354e+02,1.419307869390915187e+02
1.281353915752422949e+02,1.417165610401741560e+02,1.072541091881683712e+02,1.384853728459641218e+02
1.308750934347934560e+02,1.395449025447822748e+02,1.114887052795170348e+02,1.320721651985959966e+02
1.147578928439574497e+02,1.370954490791552871e+02,1.111561593364998402e+02,1.316301869827255757e+02
1.144118846831177621e+02,1.364013162188331876e+02,1.119083643633207572e+02,1.120151458231396617e+02
1.083910169311618006e+02,1.363537133627046103e+02,1.062089537882225301e+02,1.116635325841911168e+02
9.889329316311800255e+01,1.369068801294736772e+02,1.063973371937464378e+02,1.269705183333993403e+02
1.043079459804440319e+02,1.388825821595128502e+02,1.041783432750725211e+02,1.168385569240199260e+02
1.040458960863560804e+02,1.374573811493699793e+02,1.060944985368198132e+02,1.118488733793131331e+02
1.104381236848416705e+02,1.403975277708445617e+02,1.113088496698995726e+02,1.077607172373319742e+02
1.076497322557993215e+02,1.418524078998152618e+02,1.034639841010197330e+02,1.148539386630178427e+02
1.014815933473188494e+02,1.418275404847414336e+02,1.086907483055533561e+02,1.201754535670875299e+02
9.604048135678434051e+01,1.415692654674208200e+02,1.070109233221402860e+02,1.261225832696847391e+02
9.734007017663503802e+01,1.414744534339507140e+02,1.057132022052442863e+02,1.329145548030170971e+02
9.890597629445244365e+01,1.419921077671893102e+02,1.041222716419381982e+02,1.257490747208194648e+02
9.474437737007507110e+01,1.421114224313273553e+02,1.074651642959460531e+02,1.274222639941413604e+02
9.458816927281401377e+01,1.423288692636310486e+02,1.104724583178892914e+02,1.204647419420243182e+02
8.853804825277688906e+01,1.438021823806863893e+02,1.087658078937069916e+02,1.294888882505801178e+02
9.423847071567244882e+01,1.430456240230157618e+02,1.066966358759673028e+02,1.223856016020446731e+02
9.306655620930457928e+01,1.435748710636897272e+02,1.039248543514461005e+02,1.413993960340700653e+02
9.784758674247061094e+01,1.427150892483840892e+02,1.082991329939636671e+02,1.320681903452770882e+02
1.010820969768152224e+02,1.448117137521814755e+02,1.099251765683205946e+02,1.276458362765289678e+02
9.766006602953567040e+01,1.432612151898168804e+02,1.088289021070543754e+02,1.253405034218387613e+02
9.676845500882213003e+01,1.440625267010600510e+02,1.080931072024598762e+02,1.376982453879936088e+02
9.664771412799804295e+01,1.412195483469670876e+02,1.100866813273678133e+02,1.409018116973397241e+02
9.719646210328674840e+01,1.399225264846410255e+02,1.140428011873392506e+02,1.440991112427032022e+02
9.716685181701289764e+01,1.404685458115852725e+02,1.118153218474822665e+02,1.397799749697180687e+02
9.799436416719569820e+01,1.414119418814271683e+02,1.087811230971757226e+02,1.380106133672881583e+02
1.020291367567259755e+02,1.388928995753603317e+02,1.146143360054730351e+02,1.515350049186007197e+02
9.694396124484512711e+01,1.399601183873356263e+02,1.102925079083082807e+02,1.636871631780862799e+02
9.737925874092188394e+01,1.397711814357026014e+02,1.151822667334901809e+02,1.735438499840046802e+02
9.717992223108150540e+01,1.382724531747692822e+02,1.189469802732664050e+02,1.643236419438941880e+02
9.664811812022313120e+01,1.395859394448769706e+02,1.194001545588717050e+02,1.604622708963739797e+02
1.018592754714471056e+02,1.409572310059673441e+02,1.185353284643366294e+02,1.573776894907499582e+02
1.018257010110380065e+02,1.404854151242566331e+02,1.204152852376190452e+02,1.512974917520470228e+02
1.008650323779566520e+02,1.400617470485967999e+02,1.198519553828320454e+02,1.521760440278652311e+02
1.062207316350290114e+02,1.396358483896234759e+02,1.181005126236881040e+02,1.531159221450102734e+02
9.483105534354888277e+01,1.416429720881464789e+02,1.213528282353604766e+02,1.588410833819515346e+02
9.348346478778771029e+01,1.412101837221873382e+02,1.233147180854285381e+02,1.590495884398977751e+02
8.924337292182705994e+01,1.404907704617563979e+02,1.241140167557080787e+02,1.610667115774486717e+02
9.604160982976466698e+01,1.391666258435218708e+02,1.256114100872983670e+02,1.638136172457526527e+02
9.467972056041304540e+01,1.404632391256215556e+02,1.229059436494267459e+02,1.772705922297023733e+02
9.555950171597763187e+01,1.413746058093382771e+02,1.199932971745309231e+02,1.938530838743895401e+02
9.765721242426451454e+01,1.401254872716658326e+02,1.249624539708711524e+02,1.847886824633577874e+02
9.845128892802216569e+01,1.400907381999279266e+02,1.213163789729994022e+02,1.842928522896924903e+02
1.021862778239605234e+02,1.382770544788012899e+02,1.184258923202979616e+02,1.814918107282910000e+02
1.035485992617438029e+02,1.388180500137646618e+02,1.218916372036669458e+02,1.815187971672569915e+02
1.038909267931583287e+02,1.398078114822310738e+02,1.262092937233453824e+02,1.937927388292184787e+02
1.008313621606239820e+02,1.400791010899226023e+02,1.208481525812586028e+02,1.960673753023430663e+02
1.120419197821359631e+02,1.429757542081846964e+02,1.153261750381211641e+02,1.953398943955315588e+02
1.171918513887272724e+02,1.449973775490888102e+02,1.137896221682882469e+02,1.984316484608852988e+02
1.145724699837389977e+02,1.439788514587531836e+02,1.116307319573590178e+02,1.879381026890058308e+02
1.145910658619757641e+02,1.436840779650710829e+02,1.081896752415187564e+02,1.756382399043200166e+02
1.213277595493057532e+02,1.441421852920216793e+02,1.156512230306732931e+02,1.865205426810411211e+02
1.302870989348925264e+02,1.442244713143112449e+02,1.121580038062324149e+02,1.827500138909187228e+02
1.175940388660564651e+02,1.392664560547210897e+02,1.106542534135359119e+02,1.674228943858783794e+02
1.221756049048859012e+02,1.395511250684696734e+02,1.115871004456330979e+02,1.769235503522523913e+02
1.169821471412387979e+02,1.388295384690056835e+02,1.106930190907037144e+02,1.854586478126552151e+02
1.166685866411452963e+02,1.386918671593066392e+02,1.104619195203265321e+02,2.006279903864239884e+02
1.221477415986565376e+02,1.405147609641100246e+02,1.101235290710470167e+02,1.947428725636573290e+02
1.271344044452039839e+02,1.385649253934134606e+02,1.054324762367725725e+02,1.928542526613898929e+02
1.178235346551773688e+02,1.378473560055163603e+02,1.031504542976419145e+02,1.928196276621740424e+02
1.291791630217036584e+02,1.367122017671878780e+02,9.980358503074000964e+01,2.012479507175538629e+02
1.283356664009021415e+02,1.386021543496329400e+02,9.950596522131262134e+01,1.967910843493795028e+02
1.406105367503464265e+02,1.391264882186434590e+02,1.042007296632615834e+02,2.071581164238808412e+02
1.409856053148787964e+02,1.393016480765055860e+02,1.084654891956044338e+02,2.196077407181261094e+02
1.440668744719810093e+02,1.369388902945186146e+02,1.092774096298350202e+02,2.031390252752262597e+02
1.332789839971430297e+02,1.373742916258669311e+02,1.083348658476967188e+02,1.898480060502637059e+02
1.349220014311801208e+02,1.387308132055381975e+02,1.095892017980119846e+02,1.947065007472790228e+02
1.337668007604284242e+02,1.400796897808064330e+02,1.116640507186119606e+02,1.924784474783813550e+02
1.483694367287847626e+02,1.401607360100236690e+02,1.133003866038286986e+02,1.881811347738463951e+02
1.367307764096161407e+02,1.423080100105667896e+02,1.141697324271171823e+02,1.909733298138979762e+02
1.283910403436470915e+02,1.454593308524512452e+02,1.100773881255728242e+02,1.950183209248638150e+02
1.321543100487500055e+02,1.438904018848557484e+02,1.121520098979037101e+02,2.274610298511416602e+02
1.260841319950622932e+02,1.435420560314179852e+02,1.149839343424198859e+02,2.358405258347044935e+02
1.222238658890879179e+02,1.443243323782892844e+02,1.134199365212074895e+02,2.856291208696527519e+02
1.219317244518379795e+02,1.459624454157902562e+02,1.109610582882906726e+02,2.763045633411837230e+02
1.221650851809834961e+02,1.474052078358394908e+02,1.074440833415599315e+02,2.619135216378738846e+02
1.206201809159522327e+02,1.479113674213346030e+02,1.066333034495625469e+02,2.598016844819119342e+02
1.099412383915021110e+02,1.510065006352267005e+02,1.115641395818488064e+02,2.468599352898116308e+02
9.961935248629723105e+01,1.527133545066493241e+02,1.117230483959482541e+02,2.505088183364769350e+02
1.015990819131221201e+02,1.539859016529013047e+02,1.118933663505917764e+02,2.295343417515263127e+02
9.848391410537654167e+01,1.542191677141994148e+02,1.111802009336412453e+02,2.246115389683271815e+02
9.587022854594874843e+01,1.527617188990188311e+02,1.121668995168381855e+02,2.450067733363503919e+02
1.015557975773023998e+02,1.529510839008026437e+02,1.083878548584204680e+02,2.396170290293974858e+02
9.989965809788397166e+01,1.545013443337326464e+02,1.073898900823487850e+02,2.312218690647609947e+02
